Geographic Area Name, Total
"Abbeville city, Alabama",439
"Adamsville city, Alabama",717
"Addison town, Alabama",X
"Alabaster city, Alabama",12802
"Albertville city, Alabama",5550
"Alexander City city, Alabama",3548
"Alexandria CDP, Alabama",1649
"Aliceville city, Alabama",174
"Allgood town, Alabama",101
"Altoona town, Alabama",X
"Andalusia city, Alabama",2530
"Anderson town, Alabama",X
"Anniston city, Alabama",3996
"Arab city, Alabama",3895
"Ardmore town, Alabama",493
"Argo town, Alabama",1792
"Ariton town, Alabama",X
"Ashford town, Alabama",656
"Ashland town, Alabama",X
"Ashville city, Alabama",715
"Athens city, Alabama",9187
"Atmore city, Alabama",1263
"Attalla city, Alabama",1774
"Auburn city, Alabama",29768
"Autaugaville town, Alabama",X
"Avon town, Alabama",X
"Babbie town, Alabama",X
"Baileyton town, Alabama",195
"Ballplay CDP, Alabama",478
"Bay Minette city, Alabama",1854
"Bayou La Batre city, Alabama",416
"Bear Creek town, Alabama",410
"Belk town, Alabama",135
"Belle Fontaine CDP, Alabama",221
"Berlin town, Alabama",156
"Berry town, Alabama",375
"Bessemer city, Alabama",2124
"Birmingham city, Alabama",25375
"Blountsville town, Alabama",652
"Blue Ridge CDP, Alabama",691
"Boaz city, Alabama",3516
"Bon Secour CDP, Alabama",620
"Brantley town, Alabama",X
"Brantleyville CDP, Alabama",229
"Brent city, Alabama",514
"Brewton city, Alabama",1367
"Bridgeport city, Alabama",622
"Brilliant town, Alabama",328
"Bristow Cove CDP, Alabama",231
"Brook Highland CDP, Alabama",3030
"Brookside town, Alabama",430
"Brookwood town, Alabama",707
"Broomtown CDP, Alabama",95
"Brundidge city, Alabama",204
"Butler town, Alabama",X
"Calera city, Alabama",4972
"Camden city, Alabama",X
"Carbon Hill city, Alabama",486
"Carlisle-Rockledge CDP, Alabama",798
"Carrollton town, Alabama",143
"Castleberry town, Alabama",X
"Cedar Bluff town, Alabama",601
"Center Point city, Alabama",1316
"Centre city, Alabama",1067
